Subject,Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
114,,2b,PE,1,0.05,1,0.05,$.05 (cents),1,0.9,1,0.9,$.90 (cents),1,100%,1,100%,0.35,35% (thirty-five percent),0.75,75% (seventy-five percent)
115,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,0.5,50%,0.75,75%,0.8,80%,0.6,60%
116,,2b,PE,0,0.1,0,0.1,.10 cents for an eraser,1,0.9,1,0.9,0.90 cents,1,100%,1,100%,0.2,20%. It's tricky with that extra dollar amount added into the mix,0.5,50%
117,,2b,PE,0,1,1,0.05,If the pencil costs one dollar more than the eraser then let's assume the eraser costs E and therefore the pencil must be 1+E. So now we have: E + 1+E= 1.10 -> 2E + 1 = 1.10 -> 2E = .10 -> E = .05.,1,0.9,0,2.9,The banana costs $0.90 cents because $2 + $0.90 = $2.90 and there are no other costs.,0.98,"I am 98 percent percent sure my answer is correct as there were no mistakes made in solving the question and thus, unless new information becomes available, I believe this is accurate.",0.9,"I am 95% percent sure my answer is correct, it could only be wrong if another component that is less than or equal to 90 cents was present but this hasn't been indicated so far.",0.75,"About 75%, it's an easy math question but I can understand where some might get confused due to reading quickly or being thrown off by having both numbers in the same equation, but if they think through it they should come up with the right solution.",0.99,About 99% because even though some may have initially misread or made errors with the calculations most people would recognize their error.
118,,2b,PE,0,10,0,10,10 cents (ten),1,0.9,1,0.9,$.90 cents (dollar ninety),1,100,1,100,0.7,70,0.85,85
119,,2b,PE,0,0.1,0,1,"Eraser = .10$, Pencil = 1.00$",1,0.9,1,0.9,$.90,,Confident in that it was possible to come to two answers when applying incorrect rules; one of them being right,1,"I am totally sure in my answer, so it must be 100%.",0.4,"My guess would be somewhere around 40%, since there is some confusion due to double solutions.",0.85,"85%, perhaps people who read instructions more thoroughly do it faster, which increases chances for solving this task accurately"
120,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
121,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
122,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.6,60%,0.8,80%
123,,1a,PE,0,0.1,0,0.1,Eraser cost .10 cents,1,0.9,1,0.9,Banana cost $.90 cents,0.95,95%,1,100%,0.75,75%,0.8,80%
124,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.85,85%
125,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.95,95,0.95,95
126,,1a,PE,0,0.1,0,0.1,.10,1,90,1,90,90 cents,1,100%,1,100%,0.5,50%,0.6,60%
127,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.99,99%,1,100%,0.5,50%,0.9,90%
128,,1a,PE,1,5,0,1,"5 cents because if the eraser was any less, then the pencil would be over a dollar by itself. So it must be 5 cents for the eraser and 1 dollar and five cents for the pencil. That's how I got my answer.",1,90,0,2.9,90 cents because that makes sense since $2 plus 90 cents equals $2.90,0.99,99%,0.98,98%,0.5,50%,0.75,75%
129,,1a,PE,0,0.1,0,0.1,".10 cents because that's all that's left over after subtracting a dollar from a buck ten, which would be for the pencil.",0,1.9,0,1.9,"If the magazine is two dollars, then the banana must cost one dollar ninety cents, so 1.90.",0.95,I am about 95% sure my answer is right but there could always be a mistake or something else I didn't think of.,0.98,"I feel pretty good about that answer too, at around 98%. It seemed way easier than the first question.",0.9,About 90% because I think most people will get it. But some might add the prices instead of subtracting like me.,0.8,"This time I'm going to say maybe 75% or 80%, because a lot of people might just think they should add up the prices, especially if they didn't solve the first question right."
130,,1a,PE,1,0.05,0,1.05,"Eraser cost $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.95,95%,1,100%,0.75,75%,0.95,95%
131,,1a,PE,1,5,0,0.1,"Eraser is 5 cents, Pencil is a dollar more which would be 105 cents but its only .10 higher so it is a dollar and five cents",0,,0,,"It's a buck because if they're both going for under three dollars, the magazine must be two bucks and the banana has to be a dollar or less. If we try to go any lower with the banana then the sum falls below three dollars.",0.98,98%,1,100%,1.05,I'm thinking maybe like 25% because even some of my friends who took AP calculus in high school can't get past that whole 105 cents thing,0.75,"75%. I mean, people are quick to subtract but they don't always consider things beyond their first impulse."
132,,1a,PE,1,0.05,0,1.1,"The eraser costs $0.05 cents, the pencil would then cost $1.05 cents. Total = $1.10",0,2.9,1,0.9,"Well, 2.90 - 2 = 0.90 so the banana costs $0.90 cents!",0.9,"90%. It's the first number that comes up into my head, but I'm sure that I'm wrong if it isn't true.",1,"100%, pretty straightforward",0.6,"Probably like 60%, since many people are likely to go straight away with an equal division on both objects.",0.75,"Idk maybe more than 75%, cause this seems simple enough"
133,,1a,PE,1,0.05,0,1.05,"The eraser cost $0.05 cents, then the pencil will be $1.05 because it’s a dollar more expensive.",1,90,1,90,Banana costs 90 cents.,0.6,60%. I don’t think this question was presented well or asked right. But if this is the way to go then it's correct!,0.7,"70%. Maybe some might've gotten it wrong, I’m pretty sure most will be getting it right though.",0.5,"I want to say 50/50 chance. 50% because there have been times when I get stuck on problems like these too but with my thinking process, it just made sense so...maybe they haven't learned about adding and subtracting fractions yet so...",-0.75,Let me guess...I think around 65-75% maybe. But probably more likely on the higher side!
134,,1a,PE,1,0.05,1,0.05,I would say $.05 for the eraser but it really asks for what it costs so its technically free!,0,2,1,0.9,Well $2 for the mag. And uh $0.90. Yes?,1,I’m 100 percent confident about that.,0.6,I can't say i am certain at all about this. I am more or less guessing... Umm around 60 percent?,0.5,"Well if they do some quick calculation, maybe like 75 percent will get it right. But if not then 50.",0.35,I have no idea... ummm lets say 35 percent
135,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
136,,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.95,95%
137,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.95,95%,0.75,75%,0.85,85%
138,,1a,PE,1,5,1,5,"5 cents, because if the pencil costs $1 more than the eraser, then the eraser must be 5 cents and the pencil must be 1 dollar and 5 cents.",1,90,1,90,"90 cents, because if the magazine costs $2, then the banana must cost $2.90 - $2 = 90 cents.",0.9,"90%. I'm pretty sure that my answer is correct, but there is always a chance that I am wrong.",1,100%. My answer is definitely correct.,0.01,"70%. Most people who have taken basic algebra should know how to solve this problem. However, some may make an arithmetic error or forget the rule about the pencil costing $1 more than the eraser.",0.95,95%. This question is very straightforward and easy to answer. Almost everyone should be able to get it right.
139,,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,0.9,90%,0.9,90%,0.5,50%,0.7,70%
140,,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.9,90%
141,,1a,PE,1,0.05,1,0.05,Eraser costs $.05,1,0.9,1,0.9,Banana costs $.90,0.95,95%,0.95,95%,0.75,75%,0.85,85%
142,,1a,PE,0,0.1,0,1,"Eraser cost .10 cents, pencil cost $1.00 (participants answer correctly)",1,0.9,1,0.9,Banana cost $.90 cents (participants answer incorrectly),1,100%,0.9,90%,0.5,50%,0.3,30%
143,,1a,PE,1,0.05,1,0.05,"$.05, I subtracted one from the total then divided by two to find the individual prices.",1,0.9,1,0.9,"$.90, this is simply subtraction.",0.9,"90%, this answer makes sense but I could see it being wrong for some reason.",1,"100%, no room for error here.",0.01,"30%, many people don't have a strong grasp on math fundamentals so they would likely just guess or assume that the pencil and eraser each cost $1.",0.8,"80%, this question requires basic arithmetic skills which most individuals possess."
144,,1a,PE,0,0.1,0,1.1,"Eraser: .10 cents, Pencil: $1.00 + .10 = $1.10 cents",1,0.9,1,0.9,Banana: .90 cents,1,I am 100% confident in my answer.,1,I am 100% confident in my answer.,0.3,30%,0.75,75%
145,,1a,PE,1,0.05,0,1,"The eraser costs $.05 because if the pencil costs $1.05, that's $1 more than the eraser.",1,0.9,1,0.9,$0.90 because they say the magazine cost $2 so to get to 2.90 that means .90.,0.99,I am 99% confident in my answer.,0.89,I am 89% confident in my answer.,0.35,Maybe like 35%.,0.6,Probably around 60% if they used their head.
146,,1a,PE,1,0.05,1,0.05,Eraser costs $.05 cents.,1,0.9,1,0.9,Banana costs $.90 cents.,1,100,1,100,0.7,70,0.85,85
147,,1a,PE,0,1,0,10,The pencil cost 1 dollar so that makes 10 cents for the eraser. Answer: 10 cents.,1,90,1,90,90 cents.,0.85,85%.,1,100%,0.3,30%,0.5,50%.
148,,1a,PE,1,0.05,1,0.05,"$0.05, because the eraser costs $0.05 less then the pencil",1,0.9,0,2,"The banana cost $0.90, since the Magazine costs $2",0.75,I am 75% confident that my response is correct,0.9,90% or above confident,0.65,"Approximately 45% - 65%, maybe slightly more then half have gotten it right so far, but certainly not all",0.02,"Above 85%.  It was simple enough math with an answer less than $1 for one product and the other $2, the rest of the price must come form the lower priced product, hence the answer to this problem should be rather easy for most participants, and it's a very small group that struggles with basic math at this level"
149,,1a,PE,0,0.9,0,1.1,".90 cents, so that the total adds up to $1.10.",1,0.9,1,0.9,$.90 because when subtracting the price of the magazine you're left with this amount.,0.5,I am 50 % sure that this is correct.,0.8,I feel about 80% confident on my answer.,0.4,40%.,-0.75,Probably around 70-75%.
150,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
151,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
152,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.85,85%,0.95,95%
153,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
154,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75%,1,100%,0.8,80%,0.95,95%
155,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,0.95,95%,0.65,65%,0.75,75%
156,,1b,BM,1,0.45,1,0.45,$.45 (The banana costs forty five cents.),1,0.1,1,0.1,$.10 (The eraser costs ten cents.),0.8,"80% (I'm pretty sure, but not totally sure that I am correct.)",1,100% (I'm totally sure that I am correct.),0.75,75% (I think 75% of people answered this correctly.),0.95,95% (I think 95% of people answered this correctly.)
157,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.7,70%,1,100%,0.6,60%,0.95,95%
158,,1b,BM,1,0.45,0,2.45,Well I'm going to need to think about this one for a minute... Let me see. Um...oh! Wait! I got it. The banana costs .45 cents and the magazine costs $2.45.,1,0.1,1,0.1,".10 cents, because it says so in the problem.",0.8,"I'm pretty sure that's right, I give myself an 80%.",0.95,95%,0.6,I would say 60%. It was sort of tricky and took a bit to figure out so some people probably didn't get it correct.,0.75,75%
159,,1b,BM,0,,0,,"If the magazine costs two dollars more than the banana, then that means that the difference between their prices is two dollars. So if we divide the price of both items by three (because two point nine divided by three is approximately one), we get a price for the banana of about ninety-seven cents.",0,,0,,"It says in the question that the pencil costs a dollar, so it must mean that the eraser is ten cents.",,I feel pretty good about my answer but since it's an approximation I put it at eighty percent.,1,100%,,"Hmm, maybe sixty or seventy percent will get it right. Some people might just subtract two from two point nine without thinking about what it really means.",0.95,I think most people would solve this correctly because they’ll read carefully and know that the answer can’t be negative or over a dollar. Maybe like 95%.
160,,1b,BM,1,45,0,95,Banana costs 45 cents. Magazine would therefore be 95 cents.,0,,0,,"Ten cents. The question said that the pencil is one dollar, not one dollar AND ten cents.",0.8,80%.,0.011,"90%. I'm just second guessing if maybe it meant for both things combined to equal $1.10, but then there wouldn't be an answer.",0.5,"Less than 50%. This one is confusing because many might think that 'X dollars more than' means the difference between the two, rather than the price of the second item in comparison to the first. It's possible that I got this wrong too.",0.75,"Probably 75%. Some people will have gotten confused on whether they were supposed to add or subtract and guessed wrong, or been told about the trick beforehand."
161,,1b,BM,0,2.9,1,0.45,"Thirty cents because if the magazine cost two dollars more than the banana then m + b = 2.90, but since we know that m = b + 2 we have b + 2 + b = 2.90, so 2b = 2.90 - 2 or 2b = .90, meaning b = .45, but since bananas cost a whole penny value, she will charge an extra five cents for making change rounding up the price to thirty cents",0,1,0,1.1,"Ten cents because if the pencil cost a dollar that means 1 dollar + x = 1.10, and thus, x would be equal to ten cents",0.9,"90%, pretty sure about her response but I am just slightly less confident with this one because it involves change, which could be easily manipulated by the seller.",0.99,"99%, I am quite certain about my answer",0.55,"55%, it is difficult unless you think about the fractions and decimal parts involved with making change, however many will simply solve using algebraic substitution, so perhaps over half can get this right",0.75,"75%, many can solve it if they just think about it"
162,,1b,BM,1,45,1,45,"45 cents. Because if you subtract the 2 dollar price of the magazine from 2.90 dollars, that leaves you with 90 cents which is three times as much as one quarter, meaning it takes four quarters for 90 cents and one quarter equals 25 cents so one quarter of .90 divided by 3 equals 45 cents.",1,0.1,0,1.1,"$.10 cents, because if the pencil alone was $1, then a dime would bring that up to the full amount of $1.10",0.87,"I'd say about 87%.  My arithmetic may be correct, but I'm not certain I've interpreted the instructions correctly.",1,100,0.6,"That's another tough question. It really depends on how many of them can do basic algebra and arithmetic accurately, plus whether or not they understand how to solve simultaneous equations. If these are high school students who have completed an algebra course, perhaps 80%. For adults without recent mathematical experience, maybe closer to 60%.",0.95,I don't have a precise answer to this question. I would guess somewhere around 95%.  Most adults know their multiplication facts.
163,,1b,BM,1,0.45,1,0.45,$.45,1,10,1,10,10 cents,0.6,60 percent,1,100 percent confident,,I think about half. Maybe a bit less but not more,0.95,95 %
164,,1b,BM,1,0.45,0,0.95,The banana costs 0.45$ as the magazine with price tag of $2.45 has $2 increase compared to the 0.95$ difference of total cost,0,,0,,It’s free because the price already accounts for the cost of both items together!,1,Totally sure that's right so yes 100%,1,I am totally sure about this! 100%,0.95,At least 95 % if they paid enough attention should figure that out...,0.9,If everyone thinks like me they would solve it correct too. I say at least 90%.
165,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.8,80%,0.75,75%
166,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.8,80%,0.75,75%
167,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.85,85,0.95,95
168,,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,1,100%,1,100%,0.85,85%,0.95,95%
169,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.85,85%,0.95,95%
170,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90,1,100,0.8,80,0.9,90
171,,1b,BM,1,0.45,1,0.45,The banana costs $.45.,1,0.1,1,0.1,"It's a trick question, because it asks for how much the eraser costs by itself, not in addition to the pencil.  So I would say that the eraser costs $.10.",0.8,80%,0.95,95%,0.65,65%,0.75,75%
172,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95%,0.95,95%,0.75,75%,0.85,85%
173,,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.8,80,1,100,0.6,60,0.75,75
174,,1b,BM,0,,0,,"If I subtract two dollars from two ninety I get ninety cents, so the banana must be ninety cents and the magazine is two dollars.",0,,0,,"It's a trick question, because if the pencil costs a dollar then the eraser is free.",0.98,98%.,0.95,95%,0.75,75%; most people get it right if they think about it.,0.5,"50%, many people give the answer as ten cents but that is incorrect."
175,,1b,BM,1,0.45,1,0.45,$0.45 cents,1,0.1,1,0.1,$.10 cents,1,100%,1,100%,0.85,85%,0.7,70%
176,,1b,BM,0,2.9,0,97,To figure out the price of the banana I need to subtract the difference between the magazine costing twice the amount of the banana. The cost would be: $2.90 / 3 (since $2 = 2/3 of $2.90); which is roughly 97 cents for the banana.,0,,0,,"It seems as though this problem contains a trick question, since if you add one dollar for the pencil plus ten cents for the eraser it doesn’t equal one dollar ten cents. So I would have to guess that either there was some kind of error in presenting the figures or the eraser also somehow costs one dollar (though if this were true it wouldn't make sense to buy both unless they had been discounted). In any case my answer is “I don’t know” -- but I can think of only two possibilities: that the eraser costs something other than five cents, or that there is no actual eraser.",0.6,"Perhaps 60%, though there could always be some error.",0,"0% - My answer is more about the possible flaws in the question rather than what the correct answer should be, so I am totally unsure. If it were worded differently then I might feel different.",0.5,"Assuming they can do the math and apply some logical thinking, then maybe something around 25% – 50%. But there will always be those who don’t consider that possibility, or choose instead to go with a default option (perhaps assuming a single dollar).",-0.05,"Based on my analysis I imagine very few will actually solve the problem as intended. So perhaps something like 2-5%. But given the vagueness of my solution, others may find it acceptable and respond with higher numbers."
177,,1b,BM,0,30,0,30,30 cents,1,10,1,10,10 cents,0.7,70%,0.95,95%,0.8,80%,0.75,75%
178,,1b,BM,1,0.45,1,0.45,.45 cents,1,0.1,1,0.1,"0.10 cents or just a dime, it's free if you buy pencil",1,100%,1,100%,0.5,"Not sure since most responses I saw were incorrect again so like 35%, too many thought the difference was 95 cents or even as little as 5 cents instead of only being 50 cents",0.35,I don’t know but they were mostly incorrect in the answers section. So I think around 35%.
179,,1b,BM,1,0.45,0,2.9,"I believe that it would be .45 cents, as if you take 2.90 minus two dollars, that leaves ninety cents to split between the banana and the magainze so you divide ninety by three.",1,0.1,1,0.1,"$0.10, that's how they add up to a total price.",0.85,About 85%,0.9,90%,0.005,"Probably about...50%, maybe like forty or fifty, cause some people seem like they just don't read the problems very carefully, like sometimes when we did math problems in school",-0.7,"About 60-70%, some people just give an obvious answer and then there might be someone who got tricked or something"
180,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
181,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
182,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.8,80%
183,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.6,60%,0.8,80%
184,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.95,95%
185,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.9,90%
186,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
187,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,1,100,0.6,60,0.85,85
188,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.7,70,0.85,85
189,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.67,67%,0.83,83%
190,,2a,BM,0,0.5,0,0.5,.50 cents,1,10,1,10,10 cents,0.74,74%,0.9,90%,0.5,50%,0.5,50%
191,,2a,BM,0,2.75,0,0.15,The magazine is priced at $2.75 and the banana costs $0.15 (2.9 - 2.75 = .15),0,,0,,This question doesn't make sense.  You can't subtract one dollar from one dollar ten cents.,0.9,I am 90% confident,1,"I am 100% sure because my answer is ""This question doesn't make sense.""",0.5,I believe that 50% of participants answered correctly.,0,I don't think anybody could solve this problem so I am guessing 0%.
192,,2a,BM,1,0.45,1,0.45,$0.45 (the banana would be .45),0,,0,,She doesn't say anything.,1,100% (she said so in her head.),,Doesn't respond.,0.7,70%. (She thought that most of them know how to do the problem).,0.9,90%. (she thinks that lots of people will know that there is something wrong with the question.)
193,,2a,BM,0,0.9,0,0.9,.90,1,10,1,10,10cents,0.95,95,0.9,90,0.35,35,0.5,50
194,,2a,BM,1,0.45,0,2.45,Banana = $.45 Magazine = $2.45,1,0.1,1,0.1,Eraser = $.10. Basic subtraction.,0.65,"65%. It was the first thing I thought about, but then I tried different variations and second-guessed myself.",0.95,"95%. I'm almost positive on this one, it feels like the first question just messed with me.",0.3,30%. A lot of people see two and think of splitting the difference or going right in between the prices instead of doing math.,0.9,"90%. Unless they get tricked by the last question again, which is less likely as there are no more similar ones to throw them off, I don't think many will fail now that it's straightforward subtraction."
195,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
196,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
197,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.8,80%
198,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.9,90
199,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
200,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.6,60,0.8,80
201,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.7,70,0.8,80
202,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.6,60%
203,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%.,1,100%,0.6,60%,0.8,80%
204,,2a,BM,1,0.45,0,2.45,"Banana = $0.45, Magazines = $2.45",1,0.1,0,1,"Eraser = $0.10, Pencil = $1",0.85,85%,0.95,95%,0.65,65%,0.75,75%
205,,2a,BM,0,0.9,0,0.9,0.90,1,0.1,1,0.1,0.10,0.9,90,1,100,0.5,50,0.75,75
206,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.7,70%,0.9,90%
207,,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95,1,100,0.9,90,0.95,95
208,,2a,BM,0,2.5,0,0.2,"The magazine costs $2.50, so the banana costs 40 cents ($.50 - .20).",1,0.1,0,1,"The eraser costs $.10 (since the total amount includes the $1 for the pencil, not including it brings the answer down to the real price.)",0.6,60%,1,100%,0.3,30%,0.95,95%
209,,2a,BM,1,0.45,1,0.45,"The Banana costs $.45 ($2.90-$2.45=$0.45).  It makes sense because when you take away the cost of the Magizine, which is $2.45 from the total, this leaves a cost for the banana at $0.45.",1,0.1,1,0.1,The Eraser would cost $0.10. If the Pencil costed $1 then all there would have left to make up $1.10 would be that last dime to get $0.10 cents to cover the Eraser which means the eraser is ten cents!,1,100%.,0.001,I feel I'm totally correct with an answer of 100% because with simple subtraction math here shows that after buying a Pencil at $1 there's only $0.10 left which is what an eraser should cost when combined for the total sum.,0.02,"Maybe around 80 or 90% because even though this one may be confusing because if the Magazine was say only $0.50 cents more instead of $2.00 dollars, it could trip people up but since its easy math I think a large percent will solve this correctly.",0.9,"With similarities as to why those same 80 or 90% were right on the previous one, its again the math involved makes sense to most of us here so again maybe even close to 100%, perhaps 85%+ to even 90% of responses are likely correct and more."
210,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
211,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.5,50%
212,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.5,50%,0.75,75%
213,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.3,30%,0.5,50%
214,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.3,30%,0.5,50%
215,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.7,70,0.85,85
216,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.95,95%
217,,2b,PE,0,10,0,1.1,Eraser costs 10 cents; pencil costs $1.10,1,90,1,90,90 cents,0.7,70,1,100,0.8,80,0.5,50
218,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.7,70%,0.6,60%
219,,2b,PE,1,0.05,0,1.05,Eraser Costs $0.05 and Pencil Costs $1.05.,1,0.9,1,0.9,The Banana Costs $0.90,1,I Am 100% Sure That My Answer Is Correct.,1,I am 100% Sure That My Answer Is Correct.,0.97,97%.,0.95,95%
220,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
221,,2b,PE,1,0.05,0,1.05,$0.05 for the eraser and $1.05 for the pencil,1,0.9,1,0.9,$0.90.,0.7,I am 70% sure.,0.5,I am 50% sure that I am right.,0.6,60% or less answered correctly.,0.3,Maybe 30%.
222,,2b,PE,0,0.1,0,1.05,"$.10, Pencil = $1.10 - $.10 = $1.00 (Wrong. Correct answer is Eraser = 5 cents, Pencil = $1.10 - 5 cents = $1.05.)",1,0.9,1,0.9,$0.90 (Correct),1,100 (Very Wrong! Not even close... but don't tell her/him that.),1,100,0.3,30,0.87,50 (Incorrect answer). This question asked about Participant's estimate for other participants; actual number of respondents that gave the correct solution was approximately 87%.
223,,2b,PE,1,5,1,5,"The eraser must be 5 cents while the pencil must be $1.05.  Thus, 5 cents for the eraser.",1,0.9,1,0.9,$.90,1,"Once again, I am totally sure, 100%",1,"I am totally sure, 100%",0.8,"As before, I would estimate that approximately 80% answer it correctly.",0.8,I would say most people solve this problem correctly - something around 80%.
224,,2b,PE,1,0.05,0,0.1,Eraser cost $.05. If you subtracted a dollar off of $1.10 then there was still $0.10 left which means that must have been what the eraser cost,1,0.9,0,2,"$0.90 (Because if the magazine costs $2, then subtracting that from the total amount spent would be correct)",0.84,84,0.54,54,0.89,I believe about 89% get it correct or something around that percentage because its quite obvious if you just add things up.,0.75,I think that about 75 percent of people get this one right
225,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
226,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
227,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
228,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.95,95%,0.95,95%,0.8,80%,0.9,90%
229,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.3,30,0.5,50
230,,2b,PE,1,0.05,0,1.1,Eraser = $0.05 Pencil = $1.05 Total = $1.10,1,0.9,1,0.9,$0.90,1,100,1,100,1,100,1,100
231,,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.5,50%,0.75,75%
