Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
296,2a,1.45,$1.45,70,70%,60,60%,0.1,$0.10,85,85%,95,95%
297,2a,90,90 cents,65,65%,35,35%,10,10 cents,85,85%,70,70%
298,2b,90,90 cents,75,75,80,80,50,50 cents,40,40,60,60
299,2a,1,$1.00,85,85%,60,60%,0.1,$0.10,74,74%,75,75%
300,1b,0.1,.10 cents,75,75%,45,45%,30,30 cents,85,85%,60,60%
301,1b,0.1,$0.10,95,95%,60,60%,1,$1.00,95,95%,70,70%
302,2a,0.45,$0.45,70,70%,60,60%,0.1,$0.10,80,80%,90,90%
303,2b,90,90 cents,95,95%,80,80%,10,10 cents,75,75%,60,60%
304,1b,0.1,$0.10,85,85%,93,93%,0.9,$0.90,70,70%,75,75%
305,2a,1.5,$1.50,84,84,63,63,0.1,$0.10,82,82,71,71
306,1b,0.05,$0.05,75,75%,80,80%,0.3,$0.30,75,75%,60,60%
307,1b,10,10 cents,90,90%,50,50%,0.4,$0.40,80,80%,60,60%
308,1a,0.05,$0.05,85,85%,30,30%,0.7,$0.70,60,60%,40,40%
309,1a,0.6,The eraser costs $0.60.,95,95%.,75,I think 75% will get it right.,0.9,The banana costs $0.90.,80,80%.,85,I think 85% will get it right.
310,2a,1.5,$1.50,80,80%,60,60%,10,10 cents,70,70%,30,30%
311,2b,90,90 cents,100,100%,95,95%,80,80 cents,90,90%,75,75%
312,1a,90,90 cents,70,70%,80,80%,90,90 cents,90,90%,60,60%
313,1a,5,5 cents,75,75 %,85,85 %,40,40 cents,60,60 %,30,30 %
314,2a,1,$1,75,75%,50,50%,0.1,$0.10,90,90%,80,80%
315,2b,0.1,$0.10,85,85,75,75,0.05,$0.05,65,65,65,65
316,2b,1.7,$1.70,80,80%,60,60%,0.4,$0.40,85,85%,75,75%
317,2b,90,90 cents,84,84%,76,76%,50,50 cents,83,83%,85,85%
318,2a,1,$1,85,85,30,30,0.1,$0.10,100,100,70,70
319,2a,1.6,$1.60,80,80%,50,50%,0.1,$0.10,80,80%,70,70%
320,2b,50,50 cents,80,80,60,60,10,10 cents,70,70,40,40
321,2a,1.5,$1.50,84,84,60,60,0.1,$0.10,75,75,70,70
322,2b,90,90 cents,95,95%,60,60%,10,10 cents,75,75%,30,30%
323,1a,0.5,0.5,70,70,80,80,0.9,0.9,60,60,90,90
324,2a,1.5,$1.50,87.5,87.5,56.25,56.25,0.1,$0.10,87.5,87.5,43.75,43.75
325,2b,0.9,$0.90,75,75%,80,80%,0.45,$0.45,65,65%,50,50%
326,1a,0.5,$0.5,99,99%,60,60%,0.8,$0.8,97,97%,40,40%
327,2b,90,It costs 90 cents.,85,85%,50,50%,0.1,It's worth $.10.,75,75%,60,60%
328,1a,6,6 cents,95,95%,80,80%,90,90 cents,70,70%,50,50%
329,1a,0.1,$0.10,95,95,80,80,0.9,$0.90,70,70,60,60
330,2b,0.9,$0.90,75,75%,83,83%,0.1,$0.10,64,64%,75,75%
331,1b,0.1,$0.10,95,95,95,95,0.6,$0.60,70,70,85,85
332,1b,10,10 cents,95,95%,80,80%,45,45 cents,70,70%,50,50%
333,1a,0.5,$0.5,80,80%,75,75%,0.9,$0.9,90,90%,93,93%
334,1b,10,10 cents,95,95%,85,85%,60,60 cents,70,70%,45,45%
335,2a,1,1 dollar,85,85%,47,47%,10,10 cents,95,95%,65,65%
336,2a,70,70 cents,85,85,35,35,10,10 cents,95,95,65,65
337,1b,0.1,0.10,85,85%,67,67%,0.45,0.45,88,88%,63,63%
338,1b,10,10 cents,90,90%,85,85%,70,70 cents,80,80%,60,60%
339,1b,10,10 cents,95,95 %,75,75 %,60,60 cents,85,85 %,45,45 %
340,2a,0.5,$0.50,83,83%,70,70%,0.05,$0.05,65,65%,85,85%
341,2a,50,50 cents,80,80%,60,60%,10,10 cents,70,70%,75,75%
342,2a,1.3,$1.30,75,75%,86,86%,0.4,$0.40,100,100%,98,98%
343,1b,20,20 cents,58,58 %,69,69 %,70,70 cents,42,42 %,36,36 %
344,2b,0.75,$.75,85,85%,60,60%,0.3,$.30,75,75%,45,45%
345,2a,1.5,$1.50,90,90,80,80,0.1,$0.10,95,95,70,70
346,2b,0.9,$0.90,70,70,65,65,0.4,$0.40,80,80,70,70
347,2b,0.9,0.90,75,75,63,63,0.1,0.10,85,85,82,82
348,2a,0.85,$0.85,70,70,60,60,0.9,$0.90,30,30,40,40
349,1b,0.1,$0.10,95,95%,78,78%,0.45,$0.45,76,76%,83,83%
350,2b,0.9,0.90,75,75,85,85,0.1,$0.10,100,100,100,100
351,2a,0.5,0.50,100,100%,80,80%,0.1,0.10,60,60%,70,70%
352,1b,10,10 cents,85,85,67,67,40,40 cents,91,91,83,83
353,1a,0.55,$.55,98,98%,74,74%,0.9,$.90,96,96%,73,73%
354,1a,0.5,0.5,89,89,75,75,0.9,0.90,94,94,83,83
355,2b,0.9,$0.90,85,85%,65,65%,0.45,$0.45,70,70%,30,30%
356,1a,0.55,$0.55,80,80%,80,80%,0.9,$0.90,70,70%,60,60%
357,1a,0.5,$0.50,80,80,60,60,0.9,$0.90,70,70,70,70
358,2a,0.45,$0.45,85,85%,70,70%,0.1,$0.10,95,95%,95,95%
359,1a,0.99,I think the eraser would be .99 cents.,78,78,34,34,0.9,I think the banana would be .90 cents.,62,62,56,56
360,1b,0.1,$0.10,95,95,35,35,0.4,$0.40,80,80,70,70
361,1a,0.2,"I have no idea, but let me try... 0.2?",50,Around 50%.,90,I would say around 90%.,90,90 cents?,70,"Not quite as sure as for the previous question, let's say 70%...",80,About 80% maybe?
362,2a,0.35,$0.35,80,80,40,40,0.1,$0.10,80,80,60,60
363,2b,0.9,$0.90,65,65,85,85,0.3,$0.30,70,70,80,80
364,1b,0.1,$0.10,74,74%,38,38%,0.9,$0.90,96,96%,52,52%
365,1a,0.5,$.50,90,90%,70,70%,0.4,$.40,80,80%,60,60%
366,2b,90,90 cents,75,75%,30,30%,60,60 cents,40,40%,80,80%
367,1b,10,10 cents,87,87%,46,46%,50,50 cents,85,85%,35,35%
368,1a,0.5,$0.50,60,60%,30,30%,0.9,$0.90,70,70%,40,40%
369,2b,0.85,$0.85,60,60%,30,30%,0.4,$0.40,90,90%,70,70%
370,2b,1.45,$1.45,75,75%,65,65%,0.45,$0.45,80,80%,80,80%
371,2a,0.75,$0.75,85,85%,90,90%,0.1,$0.10,95,95%,95,95%
372,1a,5,5 cents,70,70%,40,40%,90,90 cents,68,68%,58,58%
373,2b,0.9,.90,100,100%,50,50%,50,50 cents,85,85%,75,75%
374,1a,1.5,"Let's see... it takes a bit longer because I have to remember my multiplication table. It would be easier if the prices were given in cents. Eraser costs 50 cents, so the pencil must be $1.50.",80,80%,60,About 60%.,0.9,"This one is easy. Bananas cost $0.90 each. That's why they call them ""bananas"". Get it?",100,100%,99,I think almost everyone could solve this problem - about 99%.
375,2a,1,$1,75,75%,80,80%,0.1,$0.10,100,100%,100,100%
376,2a,,I don't know the answer to this one,30,30,60,60,10,10 cents,80,80,75,75
377,1b,10,10 cents,95,95%,80,80%,40,40 cents,75,75%,60,60%
378,1a,5,5 cents,80,80%,60,60%,90,90 cents,80,80%,70,70%
379,2b,90,90 cents,80,80%,50,50%,10,10 cents,70,70%,60,60%
380,1a,0.1,$0.10,85,85%,35,35%,0.75,$0.75,90,90%,65,65%
381,1b,10,10 cents,85,85%,75,75%,1.45,$1.45,70,70%,65,65%
382,2b,0.9,$0.90,75,75%,60,60%,0.4,$0.40,85,85%,70,70%
