Subject,Dataset,Age,Age_break_new,Age_break,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
178,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.6,0.9,0.1,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
178,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.8,0.98,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
178,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
179,MIXTRAL,53,Age_42_65,Age_41_65,Female,BM,2a,0,90,1,10,-999,-999,0.75,1,0.6,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999
179,MIXTRAL,53,Age_42_65,Age_41_65,Female,BM,2a,0,0.4,1,0.1,-999,-999,0.75,0.98,0.2,0.875,-999,-999,-999,-999,-999,-999,-999,-999,-999
179,MIXTRAL,53,Age_42_65,Age_41_65,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.8,0.9,0.65,0.925,-999,-999,-999,-999,-999,-999,-999,-999,-999
179,MIXTRAL,53,Age_42_65,Age_41_65,Female,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.7,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
180,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,10,-999,-999,-999,0.95,0.3,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
180,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,0,0.9,1,0.1,-999,-999,0.8,0.95,0.4,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
180,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,10,-999,-999,0.85,0.9,0.325,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
180,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.95,0.95,0.6,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
181,MIXTRAL,36,Age_34_41,Age_36_40,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.8,0.65,0.3,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
181,MIXTRAL,36,Age_34_41,Age_36_40,Female,PE,2b,1,0.05,1,90,-999,-999,0.87,0.85,0.65,0.775,-999,-999,-999,-999,-999,-999,-999,-999,-999
181,MIXTRAL,36,Age_34_41,Age_36_40,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.9,1,0.35,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
181,MIXTRAL,36,Age_34_41,Age_36_40,Female,PE,2b,0,0.1,1,0.9,-999,-999,0.97,0.98,0.85,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
182,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,0,0.1,1,0.9,-999,-999,0.65,1,0.35,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
182,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,5,1,90,-999,-999,0.85,1,0.9,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
182,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,5,1,90,-999,-999,0.9,1,0.35,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
182,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.95,0.85,0.75,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
183,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,0,1,1,10,-999,-999,-999,0.95,0.75,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
183,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.7,0.9,0.7,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
183,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.75,0.85,0.8,0.97,-999,-999,-999,-999,-999,-999,-999,-999,-999
183,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,1,1,0.7,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
184,MIXTRAL,27,Age_25_28,Age_25_29,Female,BM,2a,0,50,1,10,-999,-999,0.8,0.9,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
184,MIXTRAL,27,Age_25_28,Age_25_29,Female,BM,2a,0,90,1,0.1,-999,-999,0.95,0.95,0.5,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
184,MIXTRAL,27,Age_25_28,Age_25_29,Female,BM,2a,0,0.4,1,0.1,-999,-999,1,1,0.625,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
184,MIXTRAL,27,Age_25_28,Age_25_29,Female,BM,2a,1,45,1,10,-999,-999,1,1,0.9,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
185,MIXTRAL,54,Age_42_65,Age_41_65,Male,BM,1b,0,50,1,0.1,-999,-999,0.65,1,0.5,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
185,MIXTRAL,54,Age_42_65,Age_41_65,Male,BM,1b,1,45,1,0.1,-999,-999,0.7,0.8,0.5,0.25,-999,-999,-999,-999,-999,-999,-999,-999,-999
185,MIXTRAL,54,Age_42_65,Age_41_65,Male,BM,1b,0,0.2,1,10,-999,-999,0.75,1,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
185,MIXTRAL,54,Age_42_65,Age_41_65,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.95,1,0.65,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
186,MIXTRAL,35,Age_34_41,Age_30_35,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.65,1,0.4,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
186,MIXTRAL,35,Age_34_41,Age_30_35,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.8,1,0.7,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
186,MIXTRAL,35,Age_34_41,Age_30_35,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.99,0.9,0.45,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
186,MIXTRAL,35,Age_34_41,Age_30_35,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,0.95,0.7,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
187,MIXTRAL,44,Age_42_65,Age_41_65,Female,PE,1a,0,0.1,1,0.9,-999,-999,0.9,0.9,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
187,MIXTRAL,44,Age_42_65,Age_41_65,Female,PE,1a,0,0.1,1,90,-999,-999,0.9,0.75,0.5,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
187,MIXTRAL,44,Age_42_65,Age_41_65,Female,PE,1a,1,5,1,90,-999,-999,1,1,0.75,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999
187,MIXTRAL,44,Age_42_65,Age_41_65,Female,PE,1a,0,0.1,1,0.9,-999,-999,1,1,0.2,0.2,-999,-999,-999,-999,-999,-999,-999,-999,-999
188,MIXTRAL,35,Age_34_41,Age_30_35,Female,PE,2b,0,-999,1,90,-999,-999,-999,1,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
188,MIXTRAL,35,Age_34_41,Age_30_35,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.75,0.98,0.4,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
188,MIXTRAL,35,Age_34_41,Age_30_35,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.3,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
188,MIXTRAL,35,Age_34_41,Age_30_35,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.3,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
189,MIXTRAL,38,Age_34_41,Age_36_40,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.85,0.99,0.67,0.63,-999,-999,-999,-999,-999,-999,-999,-999,-999
189,MIXTRAL,38,Age_34_41,Age_36_40,Male,BM,2a,0,0.4,1,10,-999,-999,0.97,1,0.75,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
189,MIXTRAL,38,Age_34_41,Age_36_40,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.9,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
189,MIXTRAL,38,Age_34_41,Age_36_40,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
190,MIXTRAL,26,Age_25_28,Age_25_29,Female,BM,1b,1,0.45,1,0.1,-999,-999,0.75,0.9,0.65,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
190,MIXTRAL,26,Age_25_28,Age_25_29,Female,BM,1b,0,90,1,10,-999,-999,0.75,0.9,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
190,MIXTRAL,26,Age_25_28,Age_25_29,Female,BM,1b,0,0.9,1,0.1,-999,-999,0.95,0.95,0.6,0.3,-999,-999,-999,-999,-999,-999,-999,-999,-999
190,MIXTRAL,26,Age_25_28,Age_25_29,Female,BM,1b,0,90,1,0.1,-999,-999,1,1,0.65,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
191,MIXTRAL,61,Age_42_65,Age_41_65,Female,PE,2b,1,0.05,1,0.9,-999,-999,0.4,1,0.3,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
191,MIXTRAL,61,Age_42_65,Age_41_65,Female,PE,2b,0,10,1,90,-999,-999,0.6,1,0.4,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
191,MIXTRAL,61,Age_42_65,Age_41_65,Female,PE,2b,1,5,1,90,-999,-999,0.8,0.7,0.5,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
191,MIXTRAL,61,Age_42_65,Age_41_65,Female,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.25,0.05,-999,-999,-999,-999,-999,-999,-999,-999,-999
192,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.5,0.7,0.3,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
192,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,1a,0,0.1,0,0.7,-999,-999,0.8,0.95,0.7,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
192,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.99,0.99,0.65,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999
192,MIXTRAL,50,Age_42_65,Age_41_65,Male,PE,1a,1,5,1,90,-999,-999,0.99,0.85,0.5,0.67,-999,-999,-999,-999,-999,-999,-999,-999,-999
193,MIXTRAL,59,Age_42_65,Age_41_65,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.8,0.8,0.85,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
193,MIXTRAL,59,Age_42_65,Age_41_65,Male,PE,1a,0,0.1,1,0.9,-999,-999,1,1,0.5,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
193,MIXTRAL,59,Age_42_65,Age_41_65,Male,PE,1a,1,0.05,1,0.9,-999,-999,1,1,0.35,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
193,MIXTRAL,59,Age_42_65,Age_41_65,Male,PE,1a,1,0.05,1,0.9,-999,-999,1,1,0.75,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
194,MIXTRAL,39,Age_34_41,Age_36_40,Male,BM,1b,0,0.9,1,0.1,-999,-999,0.7,0.85,0.35,0.42,-999,-999,-999,-999,-999,-999,-999,-999,-999
194,MIXTRAL,39,Age_34_41,Age_36_40,Male,BM,1b,0,90,1,0.1,-999,-999,0.8,1,0.45,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
194,MIXTRAL,39,Age_34_41,Age_36_40,Male,BM,1b,1,45,1,10,-999,-999,0.85,1,0.3,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
194,MIXTRAL,39,Age_34_41,Age_36_40,Male,BM,1b,0,25,1,10,-999,-999,1,1,0.65,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
195,MIXTRAL,37,Age_34_41,Age_36_40,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.85,1,0.65,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
195,MIXTRAL,37,Age_34_41,Age_36_40,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.9,0.9,0.8,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
195,MIXTRAL,37,Age_34_41,Age_36_40,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.98,0.95,0.9,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
195,MIXTRAL,37,Age_34_41,Age_36_40,Male,BM,2a,1,45,1,0.1,-999,-999,1,0.9,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
196,MIXTRAL,29,Age_29_33,Age_25_29,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.87,0.97,0.62,0.89,-999,-999,-999,-999,-999,-999,-999,-999,-999
196,MIXTRAL,29,Age_29_33,Age_25_29,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.98,1,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
196,MIXTRAL,29,Age_29_33,Age_25_29,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.7,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
196,MIXTRAL,29,Age_29_33,Age_25_29,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.5,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
197,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,0,10,1,10,-999,-999,0.75,0.9,0.65,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
197,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.8,0.99,0.75,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
197,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,0,74,1,0.1,-999,-999,0.8,0.85,0.75,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
197,MIXTRAL,27,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.95,0.95,0.6,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
198,MIXTRAL,31,Age_29_33,Age_30_35,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.8,1,0.6,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
198,MIXTRAL,31,Age_29_33,Age_30_35,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.95,0.85,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
198,MIXTRAL,31,Age_29_33,Age_30_35,Male,PE,1a,1,5,1,90,-999,-999,1,1,0.5,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
198,MIXTRAL,31,Age_29_33,Age_30_35,Male,PE,1a,1,0.05,1,0.9,-999,-999,1,0.8,0.5,0.4,-999,-999,-999,-999,-999,-999,-999,-999,-999
199,MIXTRAL,26,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.85,0.65,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
199,MIXTRAL,26,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.95,0.85,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
199,MIXTRAL,26,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,1,0.4,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
199,MIXTRAL,26,Age_25_28,Age_25_29,Male,PE,2b,0,10,1,90,-999,-999,1,0.85,0.75,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
200,MIXTRAL,35,Age_34_41,Age_30_35,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.7,0.8,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
200,MIXTRAL,35,Age_34_41,Age_30_35,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.8,1,0.6,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
200,MIXTRAL,35,Age_34_41,Age_30_35,Male,BM,2a,1,0.45,1,10,-999,-999,0.85,0.9,0.7,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
200,MIXTRAL,35,Age_34_41,Age_30_35,Male,BM,2a,0,0.9,1,0.1,-999,-999,0.85,0.9,0.5,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
201,MIXTRAL,25,Age_25_28,Age_25_29,Male,BM,2a,1,0.45,1,10,-999,-999,0.8,1,0.35,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
201,MIXTRAL,25,Age_25_28,Age_25_29,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.85,0.85,0.5,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
201,MIXTRAL,25,Age_25_28,Age_25_29,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.75,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
201,MIXTRAL,25,Age_25_28,Age_25_29,Male,BM,2a,0,25,1,10,-999,-999,1,0.98,0.4,0.25,-999,-999,-999,-999,-999,-999,-999,-999,-999
202,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.8,1,0.5,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
202,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.98,0.95,0.5,0.45,-999,-999,-999,-999,-999,-999,-999,-999,-999
202,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,1a,0,10,1,90,-999,-999,1,1,0.8,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
202,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,1a,1,0.05,1,0.9,-999,-999,1,-999,0.4,0.975,-999,-999,-999,-999,-999,-999,-999,-999,-999
203,MIXTRAL,42,Age_42_65,Age_41_65,Male,PE,1a,1,0.05,1,90,-999,-999,0.8,1,0.35,0.965,-999,-999,-999,-999,-999,-999,-999,-999,-999
203,MIXTRAL,42,Age_42_65,Age_41_65,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.9,0.99,0.8,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
203,MIXTRAL,42,Age_42_65,Age_41_65,Male,PE,1a,0,0.95,1,0.9,-999,-999,0.9,1,0.65,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
203,MIXTRAL,42,Age_42_65,Age_41_65,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.95,1,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
204,MIXTRAL,33,Age_29_33,Age_30_35,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.5,0.75,0.25,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
204,MIXTRAL,33,Age_29_33,Age_30_35,Male,PE,1a,0,0.1,1,0.9,-999,-999,0.8,1,0.5,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
204,MIXTRAL,33,Age_29_33,Age_30_35,Male,PE,1a,1,0.05,1,0.9,-999,-999,0.9,0.9,0.5,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
204,MIXTRAL,33,Age_29_33,Age_30_35,Male,PE,1a,1,0.05,1,0.9,-999,-999,1,1,0.9,0.4,-999,-999,-999,-999,-999,-999,-999,-999,-999
205,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.6,0.85,0.2,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
205,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.75,0.85,0.49,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
205,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.85,0.9,0.3,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
205,MIXTRAL,27,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,1,0.8,0.25,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
206,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.75,0.9,0.6,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
206,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,0,0.9,1,0.1,-999,-999,0.8,0.95,0.4,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
206,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,1,0.45,1,10,-999,-999,0.85,0.75,0.6,0.3,-999,-999,-999,-999,-999,-999,-999,-999,-999
206,MIXTRAL,26,Age_25_28,Age_25_29,Male,BM,1b,0,-999,0,-999,-999,-999,1,0,0.25,0.49,-999,-999,-999,-999,-999,-999,-999,-999,-999
207,MIXTRAL,31,Age_29_33,Age_30_35,Female,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.8,0.9,-999,-999,-999,-999,-999,-999,-999,-999,-999
207,MIXTRAL,31,Age_29_33,Age_30_35,Female,BM,2a,1,0.45,1,10,-999,-999,1,1,1,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
207,MIXTRAL,31,Age_29_33,Age_30_35,Female,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.5,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
207,MIXTRAL,31,Age_29_33,Age_30_35,Female,BM,2a,1,45,1,10,-999,-999,1,1,0.8,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
208,MIXTRAL,33,Age_29_33,Age_30_35,Male,BM,1b,0,0.47,1,0.1,-999,-999,-999,0.95,0.93,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
208,MIXTRAL,33,Age_29_33,Age_30_35,Male,BM,1b,1,0.45,1,10,-999,-999,0.75,0.95,0.35,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
208,MIXTRAL,33,Age_29_33,Age_30_35,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.87,0.99,0.35,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
208,MIXTRAL,33,Age_29_33,Age_30_35,Male,BM,1b,1,0.45,1,0.1,-999,-999,0.99,0.8,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
209,MIXTRAL,38,Age_34_41,Age_36_40,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.5,1,0.5,0.625,-999,-999,-999,-999,-999,-999,-999,-999,-999
209,MIXTRAL,38,Age_34_41,Age_36_40,Female,BM,2a,0,70,1,10,-999,-999,0.8,1,-999,0.65,-999,-999,-999,-999,-999,-999,-999,-999,-999
209,MIXTRAL,38,Age_34_41,Age_36_40,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.9,0.95,0.5,0.975,-999,-999,-999,-999,-999,-999,-999,-999,-999
209,MIXTRAL,38,Age_34_41,Age_36_40,Female,BM,2a,1,0.45,1,0.1,-999,-999,0.98,1,0.8,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999
210,MIXTRAL,36,Age_34_41,Age_36_40,Female,BM,1b,0,0.7,1,0.1,-999,-999,0.5,0.5,0.3,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
210,MIXTRAL,36,Age_34_41,Age_36_40,Female,BM,1b,1,0.45,1,0.1,-999,-999,0.85,0.95,0.7,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
210,MIXTRAL,36,Age_34_41,Age_36_40,Female,BM,1b,0,2,1,10,-999,-999,1,1,0.8,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999
210,MIXTRAL,36,Age_34_41,Age_36_40,Female,BM,1b,1,0.45,1,0.1,-999,-999,1,1,0.75,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
211,MIXTRAL,28,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.6,1,0.4,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
211,MIXTRAL,28,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.75,1,0.6,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
211,MIXTRAL,28,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.8,0.9,0.6,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
211,MIXTRAL,28,Age_25_28,Age_25_29,Male,PE,2b,0,10,1,90,-999,-999,0.9,0.85,0.9,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
212,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,90,-999,-999,0.7,0.9,0.5,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
212,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.95,0.7,0.65,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
212,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,2b,0,0.1,1,0.9,-999,-999,0.95,1,0.3,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
212,MIXTRAL,25,Age_25_28,Age_25_29,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.95,1,0.4,0.75,-999,-999,-999,-999,-999,-999,-999,-999,-999
213,MIXTRAL,56,Age_42_65,Age_41_65,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.75,0.85,0.9,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
213,MIXTRAL,56,Age_42_65,Age_41_65,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.8,0.9,0.3,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
213,MIXTRAL,56,Age_42_65,Age_41_65,Male,BM,2a,1,0.45,1,0.1,-999,-999,0.99,0.99,0.95,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
213,MIXTRAL,56,Age_42_65,Age_41_65,Male,BM,2a,1,0.45,1,0.1,-999,-999,1,1,0.85,0.85,-999,-999,-999,-999,-999,-999,-999,-999,-999
214,MIXTRAL,37,Age_34_41,Age_36_40,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.6,0.85,0.3,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999
214,MIXTRAL,37,Age_34_41,Age_36_40,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.9,0.85,0.6,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999
214,MIXTRAL,37,Age_34_41,Age_36_40,Male,PE,2b,1,0.05,1,0.9,-999,-999,0.95,0.95,0.6,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999
214,MIXTRAL,37,Age_34_41,Age_36_40,Male,PE,2b,0,0.1,1,0.9,-999,-999,0.95,0.85,0.65,0.79,-999,-999,-999,-999,-999,-999,-999,-999,-999
