Subject,CB,Q1num,Q1str,Conf1num,Conf1str,Opin1num,Opin1str,Q2num,Q2str,Conf2num,Conf2str,Opin2num,Opin2str
299,2a,1.5,$1.50,87,87%,60,60%,0.1,$0.10,94,94%,80,80%
300,1b,10,10 cents,100,100,50,50%,0.45,$0.45,80,80,70,70%
301,1b,5,5 cents,90,90%,40,40%,1,$1,90,90%,30,30%
302,2a,15,"(thinking) So the magazine costs $4, but it's $2 more than the banana... Hmmm… I'd say that the banana costs about 15 cents.",65,About 65%.,30,I guess most people would get it wrong. Maybe only 30% of them.,10,The eraser costs 10 cents.,90,"About 90%, since they gave me the price of one item and then asked for the other.",80,Most people should get this right. I'll say around 80%.
303,2b,1,$1.,85,85%.,55,55%.,0.5,$0.50.,74,74%.,63,63%.
304,1b,0.1,$0.10,50,50%,80,80%,1.5,$1.5,40,40%,70,70%
305,2a,0.5,$0.50,80,80%,60,60%,0.1,$0.10,90,90%,70,70%
306,1b,10,10 cents,90,90%,70,70%,90,90 cents,60,60%,40,40%
307,1b,0.05,I’m not sure. I’ll go for $0.05.,80,80%.,70,70%.,0.45,I’d say $0.45.,60,60%.,60,60%.
308,1a,0.5,$0.50,80,80%,60,60%,0.9,$0.90,70,70%,35,35%
309,1a,5,Eraser costs 5 cents,80,80%,60,60%,35,Banana costs 35 cents,75,75%,40,40%
310,2a,1,$1.00,75,75,60,60,0.1,$0.10,80,80,85,85
311,2b,0.9,$0.90,75,75%,80,80%,0.4,$0.40,83,83%,62,62%
312,1a,0.6,$0.60,95,95%,30,30%,0.9,$0.90,70,70%,40,40%
313,1a,5,5 cents,90,90%,85,85%,90,90 cents,80,80%,94,94%
314,2a,50,50 cents,65,65 %,30,30 %,10,10 cents,70,70 %,55,55 %
315,2b,0.6,$.60,85,85,35,35,0.15,$0.15,75,75,40,40
316,2b,90,90 cents,60,60%,45,45%,70,70 cents,80,80%,70,70%
317,2b,0.9,$0.90,80,80%,70,70%,0.4,$0.40,60,60%,50,50%
318,2a,0.9,0.90,100,100,35,35,0.1,0.10,76,76,85,85
319,2a,1,$1.00,85,85,75,75,0.1,$0.10,90,90,80,80
320,2b,0.9,0.9,50,50,45,45,0,0.0,70,70,65,65
321,2a,1,$1,87,87%,85,85%,0.1,$0.10,100,100%,100,100%
322,2b,0.9,$0.90,60,60%,85,85%,0.3,$0.30,40,40%,70,70%
323,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
324,2a,1,$1,80,80,75,75,0.1,$0.10,60,60,30,30
325,2b,0.9,$0.90,75,75%,60,60%,0.2,$0.20,80,80%,80,80%
326,1a,90,90 cents,50,50,80,80%,1.1,$1.10,60,60,75,75%
327,2b,90,90 cents,85,85 %,70,70 %,50,50 cents,95,95 %,45,45 %
328,1a,0.5,$0.50,80,80,79,79,0.9,$0.90,63,63,48,48
329,1a,5,5 cents,80,80%,60,60%,90,90 cents,70,70%,40,40%
330,2b,90,90 cents,85,85%,76,76%,40,40 cents,82,82%,73,73%
331,1b,10,10 cents,85,85%,65,65%,1.4,$1.40,70,70%,30,30%
332,1b,10,10 cents,75,75%,60,60%,1.4,$1.40,80,80%,55,55%
333,1a,0.1,$0.10,50,50,80,80,0.9,$0.90,70,70,60,60
334,1b,10,Eraser costs 10 cents.,95,I am 95% confident that my answer is correct.,80,About 80% of responders would solve this problem correctly.,50,Banana costs 50 cents.,75,I am 75% confident that my answer is correct.,60,About 60% of responders would solve this problem correctly.
335,2a,0.5,0.50 cents,80,80%,40,40%,0.1,0.10 cents,60,60%,70,70%
336,2a,1.5,It costs $1.50.,80,I am 80% sure.,70,70%,0.1,It costs $0.10.,100,I am 100% sure.,90,90%
337,1b,10,10 cents,75,75%,60,60%,45,45 cents,85,85%,60,60%
338,1b,10,10 cents,76,76,89,89,0.45,$0.45,73,73,92,92
339,1b,0.1,The eraser costs $0.10 cents.,80,I'm 80% certain that my answer is correct.,60,Hmm... maybe around 60%?,0.45,"If the banana costs $0.50 cents, then the magazine would be $2.50. So, the banana must cost $0.45 cents for the math to work out.",70,I'd say about 70%.,40,Maybe around 40%?
340,2a,1.5,$1.50,80,80%,37,37%,0.1,$0.10,60,60%,45,45%
341,2a,,I’m not sure,50,50%,40,40%,10,10 cents,80,80%,70,70%
342,2a,50,50 cents,80,80%,60,60%,10,10 cents,70,70%,40,40%
343,1b,0.1,$0.10,50,50%,80,80%,0.45,$0.45,60,60%,70,70%
344,2b,90,90 cents,75,75%,60,60%,10,10 cents,40,40%,30,30%
345,2a,0.5,$0.50,80,80%,67,67%,0.05,$0.05,100,100%,44,44%
346,2b,0.9,.90,80,80,65,65,0.1,0.10,80,80,60,60
347,2b,90,90 cents,85,85 percent,60,60%,10,10 cents,70,70 percent,40,40%
348,2a,,???,80,80%,56,56%,10,10 cents,100,100%,97,97%
349,1b,5,It's 5 cents.,68,I am 68% sure.,63,I think more than half will be able to solve this. Say 63%.,0.95,"If magazine cost $2 more than banana, then banana must cost $x. So the sum of $2(banana) + $2 = $4(banana). Therefore, $2(banana) = $1.90; hence, the cost of banana is $0.95.",74,74%,70,About 70%.
350,2b,90,90 cents,85,85%,75,75%,50,50 cents,65,65%,40,40%
351,2a,1.5,$1.50,85,85%,75,75%,0.1,$0.10,85,85%,75,75%
352,1b,10,The eraser costs 10 cents.,95,95,80,80%,40,The banana costs 40 cents.,90,90,75,75%
353,1a,5,5 cents,98,98%,75,75%,90,90 cents,96,96%,80,80%
354,1a,50,50 cents,80,80%,60,60%,90,90 cents,70,70%,60,60%
355,2b,1,$1.00,65,65,85,85,0.2,$0.20,65,65,43,43
356,1a,0.5,$0.5,75,75%,40,40%,0.9,$0.9,85,85%,60,60%
357,1a,5,5 cents,80,80%,70,70%,90,90 cents,90,90%,90,90%
358,2a,50,I would say 50 cents.,70,About 70%.,80,80%.,10,10 cents.,90,About 90%.,90,90%.
359,1a,9,9 cents,75,75%,35,35%,90,90 cents,85,85%,60,60%
360,1b,10,10 cents,95,95%,85,85%,50,50 cents,90,90%,75,75%
361,1a,0.15,.15 cents,67,67%,89,89%,0.9,.90 cents,100,100%,73,73%
362,2a,5.4,"I don't know, but it can't be $1.50 because then the magazine would have to be $3.50 which means they would have a total value of $5.40.",60,60%.,80,80%.,1.1,"The answer is $0.10, since if the pencil costs $1, then they must add up to $1.10.",90,90%.,95,95%.
363,2b,1.5,$1.50,80,80%,40,40%,0.4,$0.40,70,70%,35,35%
364,1b,10,The eraser costs 10 cents.,87,87%,43,I think about 43% of the population would answer this question correctly.,60,The banana costs 60 cents.,84,84%,56,I think about 56% of the population would answer this question correctly.
365,1a,1.5,Eraser = $0.5; Pencil = $1.5,80,80%,74,74%,0.9,Banana = $0.9,60,60%,36,36%
366,2b,0.9,$0.90,65,65%,80,80%,0.4,$0.40,70,70%,70,70%
367,1b,10,10 cents,85,85%,70,70%,60,60 cents,90,90%,40,40%
368,1a,10,10 cents,95,95%,74,74%,90,90 cents,89,89%,62,62%
369,2b,90,90 cents,80,80%,75,75%,60,60 cents,85,85%,80,80%
370,2b,90,90 cents,75,75 percent,60,60 percent,45,45 cents,83,83 percent,85,85 percent
371,2a,1.5,$1.5,80,80%,40,40%,0.1,$0.1,90,90%,75,75%
372,1a,5,5 cents,80,80,70,70,40,40 cents,60,60,30,30
373,2b,90,90 cents,85,85%,75,75%,60,60 cents,80,80%,75,75%
374,1a,0.5,$0.5,70,70,60,60,0.9,$0.9,80,80,30,30
375,2a,15,15 cents,70,70%,85,85%,20,20 cents,90,90%,99,99%
376,2a,1,$1,75,75%,68,68%,0.1,$0.10,90,90%,93,93%
377,1b,10,10 cents,75,75 percent,85,85 percent,0.5,$0.50,60,60 percent,30,30 percent
378,1a,,I have no idea,5,5%,70,70%,0.8,$0.80,100,100%,100,100%
379,2b,0.9,$0.90,63,63%,45,45%,0.1,$0.10,86,86%,71,71%
380,1a,10,10 cents,85,85%,70,70%,90,90 cents,68,68%,45,45%
381,1b,10,10 cents,90,90%,55,55%,40,40 cents,80,80%,60,60%
382,2b,0.9,$0.90,80,80%,60,60%,0.5,$0.50,70,70%,40,40%
