Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
104,2b,PE,1,0.05,0,1,"Eraser = $0.05 and pencil=$1.05; no wait! If you think about the fact that they state the price for the two things as one unit and say ""A pencil"" when describing just the single piece that it doesn't make any sense because you can't have less then zero for an object... so eraser = $0.10, pencil = $1.00.",1,90,1,90,90 cents,0.98,"After my correction, I feel almost certain: 98%, if that makes sense.",0.75,75 percent.,-0.4,"Honestly? It was hard enough that I doubt many got the second part correct: around 30-40%, I imagine.",0.75,"I believe that 50% or more get this right, perhaps close to 75%."
105,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
106,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
107,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.95,95%
108,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
109,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.5,50%
110,2b,PE,1,0.05,1,0.05,$0.05,1,0.9,1,0.9,$0.90,1,100%,1,100%,0.75,75%,0.5,50%
111,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,1,100%,0.6,60%,0.75,75%
112,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.7,70%,0.5,50%
113,2b,PE,1,0.05,0,1.05,Eraser cost $0.05 and pencil cost $1.05,1,0.9,1,0.9,$0.90,0.7,70,0.95,95,0.3,30,0.6,60
114,2b,PE,1,0.05,1,0.05,.05 cents,1,0.9,1,0.9,.90 cents or 90 dollars (but I suspect it's .90 since there's a dollar sign),0.7,70%,0.85,85%,0.4,40%,0.34,34%
115,2b,PE,0,0.1,0,0.1,.10,1,0.9,1,0.9,$.90,1,100,1,100,0.3,30,0.5,50
116,2b,PE,1,0.05,1,0.05,"$0.05, I figured out that the pencil is $1.10 minus the eraser’s price which equals $1.10 - $1 = $0.10/2=$0.05 per side, meaning the eraser must be $0.05.",1,0.9,1,0.9,$0.90 (I arrived at this answer by subtracting the price of the magazine ($2) from the total cost ($2.90). I got $0.90.),0.0005,"98%. This answer was also straightforward, even though at first glance it seems contradictory because one dollar cannot cover both sides. However, I divided the difference between the total value ($1.10) and the cost of the pencil ($1) by two for each item resulting in $0.05 for the eraser.",0.8,"80%. Although the question seemed straight forward, there was room for human error as in inputting the incorrect amount, but if my response is based on what I know I am almost certain.",0.5,"50%, since many may overlook the part where they have to divide the cost difference. It might be difficult to grasp at first since most would think there has to be an error somewhere but when they take time to analyze it further they can solve it correctly.",0.9,"90%, I believe that most people can solve simple math problems like these when given clear instructions."
117,2b,PE,0,0.1,0,0.1,0.10,1,0.9,1,0.9,0.9,0.7,70%,0.5,50%,0.8,80%,0.3,30%
118,2b,PE,0,0.1,0,0.1,.10,1,0.9,1,0.9,.90,0.54,54 percent,1,I am %100 certain of my response,0.54,54,0.34,34
119,2b,PE,0,1,0,0.1,It's like a proportion ratio problem so it'll be half since if one is $1 then the other is half at $.10 but due to decimal points rounding will occur as .10 goes up by .90 the original .10 becomes 0 because rounding takes place after you calculate the amount needed for both items making 0 be the price of the eraser but mathematically speaking its still $0.10.,1,90,1,90,90 cents.,0.72,"Around 72%. I reread the problem multiple times to ensure my math was correct with calculations since this was one question where you need to think before just solving for it and once I understood it, there was less uncertainty and only came about from calculating that it seemed too small especially when compared to previous answer even though both should theoretically follow same rules.",1,"75%. I was almost certain but when i reread it, my mind slightly doubted it so that's why it isn't a full 100%.",0.5,Maybe around 50% given complexity of reasoning and necessity for mathematical thinking.,-0.75,"Maybe around 60-75%, although some could probably have gotten it right through pure guessing or having no understanding of subtraction."
120,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.85,85%
121,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.85,85%
122,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.4,40%,0.8,80%
123,1a,PE,1,0.05,1,0.05,Eraser costs $.05,1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.75,75%,0.8,80%
124,1a,PE,1,0.05,0,1.05,"Eraser: $.05, Pencil: $1.05",1,0.9,1,0.9,Banana: $.90,0.9,90%,1,100%,0.2,20%,0.8,80%
125,1a,PE,1,0.05,0,1,Eraser costs $.05 cents ($1.10 - $1),1,0.9,0,2,Banana costs $.90 ($2.90 - $2),1,100%,1,100%,0.99,I would say 99%.,0.85,I would say 85%.
126,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,$0.90 cents,0.95,95%,0.9,90%,0.25,25%,0.5,50%
127,1a,PE,0,10,0,1.1,"Eraser is 10 cents, Pencil is one dollar plus 10 cents which is $1.10.",1,90,1,90,Banana cost is 90 cents.,1,100%.,1,100%.,0.5,50%.,0.7,70%.
128,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,1,100%,0.75,75%,0.23,23%,0.68,68%
129,1a,PE,0,10,0,1.1,Eraser - 10 cents; Pencil = $1 + $.10 = $1.10,1,90,0,2,Banana - 90 cents; Magazine = $2,1,100%,1,100%,0.5,50%,0.75,75%
130,1a,PE,0,0.1,0,1.2,"Eraser cost .10 cents. Pencil would then be worth $1.10 or one dollar more, which makes it a total of $1.20. So my answer is that there may be a typo in question.",1,90,1,90,It costs 90 cents.,0.9,"I am very sure, about 90%.",0.95,"I am very sure, about 95%.",0.95,"If everyone read the instructions clearly as given, they might get this right, so maybe about 95%.",0.98,"Since this one is more straightforward, maybe about 98%."
131,1a,PE,0,0.1,0,10,"I think .10 for the eraser since they add up to a dollar ten, but then it would say the pencil costs zero dollars which is not possible. Hmm... The answer can’t be that because one plus zero doesn’t equal one so this can’t work right? Well, maybe the pencil could cost negative money because it’s free! Then everything adds up! The eraser is 10 cents then!",1,90,1,90,Oh that’s easy. The banana costs 90 cents.,0.95,95%,0.98,"I know exactly how much a banana is, so like 98%.",,About fifty percent?,0.9,Probably 80 or 90%.
132,1a,PE,1,0.05,1,0.05,"I would need a pen and paper for that, but my guess is around $.05.",1,0.9,1,0.9,"That's easy: $.90 cents, isn't it?",0.95,I'd say I was 95% sure.,0.98,"Well, yeah, uh, I got .90 by subtracting two dollars from twenty-nine cents, which, you know, umm...yeah. Okay. 98%!",0.75,"I'm going to have to say...uh...maybe like 75%. That sounds reasonable enough, doesn't it?",0.95,"I would venture to guess that 95% did so, unless they made an arithmetic error or something."
133,1a,PE,1,5,1,5,"5 cents, since one dollar plus 5 cents equals 1.10 dollars and then it says that a pencil (one dollar) costs $1 more than an eraser(5 cents).",1,90,1,90,"90 cents.  The magazine is $2, making the total 3 dollars, but there's an extra ten cent credit which gets used by the banana being cheaper by a dime, so that would be 90 cents for the banana",1,100 percent,1,100 percent,0.999,99.9 percent,1,100 percent
134,1a,PE,0,10,0,10,"I would assume 10 cents because that way both combined would cost a dollar ten, as requested by the prompt; the eraser in this situation only costing a dime because one penny plus 10 cents equals one dollar (which matches the ""more than"" condition of one dollar greater than the original ten cents), for an additional one dollar, making the final price for the pencil equal to one dollar as well, making it fair. If anything else happened or changed it could change how I perceived the problem. But under the given conditions I am most certain about my answer being correct, regardless if it was indeed a trap question or not.",1,90,1,90,"Just as previously answered, let me make an assumption based off the prompt, which would entail calculating one dollar as well, plus another 90 cents to meet up to the requested total amount of $2.90; giving us a fair answer based on the given parameters and conditions, making it only logical in this situation for the banana price to equate out at 90 cents, without changing any variable or information about the current prompt, assuming no such variables can change without my prior acknowledgement or approval, as mentioned in my last question regarding confidence (and percentages), unless explicitly told otherwise or changed. But barring anything unexpectedly changing, I will stick with my original assumption.",0.99,99% (I don't like round numbers unless they happen to be what is expected/most logical.),0.85,Approximately around 85%. This seems more complicated because now instead we must determine what each portion actually costs separately within two items rather than one as was initially stated; also when it came to subtraction being done correctly with accuracy before even having gotten down to specific prices or amounts for both products being sold together as a pair package. Yet so long as things go smoothly then logically it should come out okay if nothing else unexpected occurs that may negatively impact its results negatively or throw me off my initial thinking pattern; yet still the difficulty lies within finding a way to connect these seemingly disjointed pieces into some sort of coherent whole which could pose issues especially considering potential time limits that might force someone towards making quicker judgments despite uncertainty existing around certain aspects due possibly from lack thereof information presented earlier during stage setup process where assumptions had been made previously without checking their validity against real world scenarios or data first before jumping ahead and giving answers without properly considering whether or not they,-0.75,"Based off past knowledge I would have to say roughly between 50-75%. So many times people think on two levels rather then multi-dimensionally so that limits them in solving problems like these due to a lack of critical thinking, causing errors. Though on the bright side there has also been research showing an increasing trend for people solving logic questions like these more effectively over time as new generations become educated with different strategies than before. Hopefully such positive progress will continue!",0.35,"If history is anything to base an answer upon then probably closer towards the lower end side at around maybe 35%, if not slightly below said range; just given how complicated math tends to be in comparison to basic logic or reasoning alone; since those subjects tend to get emphasized far more frequently than mathematical understanding does amongst school systems throughout much of today's educational system structure, causing less emphasis overall placed on critical thinking skills development when faced with complex arithmetic related challenges."
135,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
136,1a,PE,0,0.1,0,0.1,.10 cents,1,90,1,90,90 cents,0.95,95%,0.95,95%,0.75,75%,0.8,80%
137,1a,PE,0,0.1,0,0.1,.10 cents,1,90,1,90,90 cents,0.95,95%,0.95,95%,0.75,75%,0.8,80%
138,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.95,95%,0.75,75%,0.8,80%
139,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
140,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.75,75%
141,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,1,100%,1,100%,0.95,95%,0.8,80%
142,1a,PE,1,5,1,5,"5 cents (I did this in my head, I didn't write it down)",1,90,1,90,90 cents (I wrote it down),0.01,"90% (I thought that the eraser would be 10 cents and the pencil 1 dollar, but then I realized that it wouldn't work out if you added the two up.)",1,100%,0.75,"75% (Some people might get confused by the wording, but most people who pay attention will solve it.)",0.8,80% (It seems simple enough if you focus on the numbers.)
143,1a,PE,0,0.1,0,1.1,"Eraser costs .10 cents, and pencil costs 1 dollar (1.10 total)",1,0.9,1,0.9,Banana costs .90 cents,1,100,1,100,0.95,95,0.8,80
144,1a,PE,1,0.05,0,1.1,I think it's $0.05. Because if the pencil is $1.05 and the eraser is $0.05 then the total would be $1.10.,1,0.9,1,0.9,"It costs $0.90. Because if the magazine costs $2 and the total cost is $2.90, that means the banana must cost $0.90.",0.9,I am about 90% sure that my answer is correct.,1,I am totally certain that my answer is right. 100%.,0.6,About 60%.,0.75,I think around 75% would get it right.
145,1a,PE,1,0.05,1,0.05,Eraser costs $.05,1,0.9,1,0.9,Banana costs $.90,,I am totally sure.,,I am totally sure.,1,I think everyone who understands the problem can solve it. So I would say close to 100%.,-0.9,"Again, I think if they understand the problem, most people can get the right answer. So maybe 85-90%, depending on the population."
146,1a,PE,1,0.05,1,0.05,"Eraser costs $.05 because if a pencil costs $1 then the difference between the eraser and pencil would be $1 - .05 = $.95. However, it is given in the question that this amount is just $1 which means that the actual cost for eraser must be $.05.",1,0.9,1,0.9,"Banana costs $.90 because if the magazine cost $2 then the difference between the banana and magazine would be $2.90 - $2 = $.90. Hence, the banana costs $.90.",0.75,75,0.9,90,0.25,"I am not sure about it but I guess it could be around 25% or lower because usually, when dealing with arithmetic questions, most individuals tend to overlook the fact that both sides of the equation can include numbers greater than one.",-0.4,"It may vary depending on various factors such as their mathematical understanding etc but I still think it could be around 30-40%. However, for those having a better understanding of math problems, this percentage might be considerably high."
147,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.99,99,1,100,0.75,75,0.8,80
148,1a,PE,0,,0,,I would guess about ten cents for the eraser.,0,,0,,The banana cost thirty cents.,0.65,Around 65%.,0.9,Pretty sure - maybe 90%.,0.25,"Not certain, probably around 25%.",,Again not really sure but perhaps half might get this correct.
149,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.99,99%,1,100%,0.6,60%,0.99,99%
150,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
151,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
152,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.85,85%,0.95,95%
153,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
154,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.85,85%,0.95,95%
155,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95%,0.95,95%,0.7,70%,0.6,60%
156,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.9,90%
157,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.85,85%,1,100%,0.6,60%,0.95,95%
158,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.99,99%,0.95,95%,0.8,80%,0.9,90%
159,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,1,100,0.8,80,0.95,95
160,1b,BM,0,,0,,Fifty cents,1,0.1,1,0.1,$.10 cents,0.85,I'm about 85% sure.,0.95,I am 95% sure that the eraser would be ten cents.,0.6,Maybe around 60% of the respondents.,0.8,About 80%.
161,1b,BM,0,2,0,2,"This question has too many solutions because I don't know enough about how the ""magazine costing $2 more"" affects the price difference.",1,10,1,10,"The eraser costs 10 cents, because $1 for a pencil leaves $1.10-$1=$0.10 (10 cents) for the eraser.",0.01,1%. Not confident at all. I don't feel as if there's enough information provided to give a correct answer.,0.95,95%,0.1,About 10%. If they thought about the situation carefully then most people would have come to realize that more information was needed for them to give a good answer.,0.5,About 50%. People often get this wrong by thinking there is a profit made when selling both items.
162,1b,BM,1,0.45,1,0.45,$.45 cents,1,0.1,1,0.1,$.10 cents,0.9,I'm 90% confident.,1,I'm 100% confident.,0.7,I would say 70%.,0.95,I would say 95%.
163,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,1,100%.,0.5,50%,0.7,70%
164,1b,BM,0,2,0,0.1,"The banana cost is twenty-nine cents since it’s a dime short of the whole thing minus the cost of the magazine ($2 + $2.9 = $.9). Then when you divide the magazine and banana, the rest should pay out as ten cents. Therefore making the total .1 for each item.",0,1.1,1,0.1,"It's free. Because when you subtract a dollar from 1.1, you get .1 or eleven cents which means it is paying for itself and the other half.",0.6,"I am about 60%. This seems like the simplest explanation although there can be variations depending on stores, but this answer is still logically sound.",0.7,70%. I mean there can be variations due to difference in pricing between stores or shops so there will be little variations on the amount but my answer makes sense if both things are being bought at one time and in one store.,0.28,28% again because some would go straight to answer instead of considering if the answer makes sense or not and may get confused with simple subtraction methods.,0.35,"35%, many might go by initial thinking instead of taking a deeper thought into this question, unless they were specifically trained to do this."
165,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
166,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
167,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.8,80%,0.75,75%
168,1b,BM,0,10,0,10,10 cents,1,10,1,10,10 cents,1,100%,1,100%,0.8,80%,0.95,95%
169,1b,BM,0,,0,,Ninety cents.,0,,0,,Ten cents.,1,100%.,1,100%.,0.9,90%.,0.95,95%.
170,1b,BM,0,30,0,30,30 cents,1,10,1,10,10 cents,0.98,98%,0.95,95%,0.6,60%,0.75,75%
171,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.85,85,0.95,95
172,1b,BM,0,,0,,Fifty cents,0,,0,,Ten cents,1,100%,1,100%,0.75,75%,0.95,95%
173,1b,BM,1,0.45,1,0.45,0.45 cents,1,0.1,1,0.1,0.10 cents,0.95,95%,0.95,95%,0.65,65%,0.75,75%
174,1b,BM,0,2,1,0.45,"Let B equal the cost of the banana; then the magazine costs B + $2. The sum of the prices of both items should be equal to $2.90. Hence, we have an equation: B + B + $2 = $2.90. After solving for B we get B = $0.45.",1,10,0,110,The eraser would be 10 cents as it must make the total amount up to 110 cents.,0.95,"Pretty sure, 95%.",0.95,"I'm pretty sure, so probably 95%.",0.9,"If they were attentive enough while reading the problem, most people would find the correct answer. However, some may confuse the order of the items, so perhaps 90%.",0.98,I think almost everyone will solve it right. Maybe 98%.
175,1b,BM,0,1.45,0,2,"Bananas are expensive these days; they cost $1.45! Just kidding, but seriously... If we let X represent the cost of the banana then the magazine will cost (X+2) dollars. This gives us a system of two equations:",0,,0,,"It's free. The problem states that the pencil and eraser cost a dollar ten, but they are not sold separately. If we don't pay anything for the pencil then everything else (the eraser) is also free.",1,"Based on my calculations above, I am 100% certain that my answer is correct. Although there is always room for error due to misunderstanding, misinterpretation, or simply an oversight, the numbers show that it is indeed possible to buy a magazine and banana together for three bucks when the magazine costs exactly two dollars more than the banana itself.",0.95,"I am 95% sure I am correct. Although it is possible that there was some other way to interpret the question, my answer seems like the most logical conclusion based on the information presented.",0.5,"Unfortunately, I believe only about 50% of people answered the question correctly because many individuals might assume that the price difference between both objects must be equal to a dollar instead of considering all possibilities.",0.75,"I believe approximately 75% of people answered the question correctly. Most people seem to be able to figure out that since both items cannot have a positive price without exceeding the total amount given, one must be zero or negative, which would still leave us with the required sum. However, I can understand if some people thought about this differently and concluded otherwise."
176,1b,BM,1,0.45,1,0.45,$0.45,0,,0,,"Erasers usually don't cost anything when bought along with pencils, so this question can't be answered properly.",0.8,80%. That's as close as I could get without using a calculator.,0.75,"75%. I have no idea if they charge for erasers when sold with a pencil, but it was the best guess I could make.",0.02,"60%. While there will be some who solve this one right off the bat, there will also be those who round up or down. For instance, if they assume that a banana can't possibly be worth more than $1 then they would never consider that the magazine costs less than $2. They will think that it has to be at least $2 for their sum to come out correct, and thus end with a wrong solution.",0.4,"40%, because there are many people who don't think that deeply into a question, and just give an answer without thinking through it first."
177,1b,BM,1,0.45,1,0.45,The banana costs $.45,1,0.1,1,0.1,The eraser costs $.10,0.8,80%. I have doubts about my answer but I’m fairly certain its correct,1,100%,0.6,"Around 60%, based on how difficult math was for me in school and what most people do when they fail to solve a problem like that one, even with time or paper",0.95,I think that 95% answered correctly.
178,1b,BM,0,2,0,0.9,"Well...the difference between them has to be equal to 2 dollars, so if we subtract the 2 dollars off from the total cost, we will have our solution! Bananas cost $0.90",1,0.1,1,0.1,.10c,0.67,"My confidence is at around 67%, but that doesn't mean there couldn't be any possible mistake in calculations.",1,I'm 100% confident in my answer.,0.84,I am unable to precisely determine that figure as people tend to think differently based on various circumstances. But I suppose maybe 84% of the people answered this one correctly.,0.99,"99%, unless they haven't paid attention in their mathematics classes."
179,1b,BM,1,0.45,1,0.45,$.45 for the banana.,1,0.1,1,0.1,"$.10, because it asks how much the eraser cost separately, not together",0.75,75,0.9,90,0.85,85,0.4,40
180,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
181,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
182,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
183,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.95,95%
184,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75%,1,100%,0.6,60%,0.8,80%
185,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.6,60%,0.8,80%
186,2a,BM,0,0.4,0,0.4,.40,1,0.1,1,0.1,.10,1,100,1,100,0.5,50,0.7,70
187,2a,BM,1,0.45,0,7,"$.45, because if the magazine costs $2 more than the banana then it would be $2.45 and the banana would be $.45 (this answer took 7 seconds)",1,0.1,0,1,$.10 (this answer took 1 second),0.01,90% (this answer took 1 second),0,100% (this answer took 0 seconds),0.03,65% (this answer took 3 seconds),0.02,98% (this answer took 2 seconds)
188,2a,BM,1,0.45,0,2.45,"Banana costs $.45, Magazine costs $2.45",1,0.1,0,1,"Eraser costs $.10, Pencil costs $1",0.8,80%,0.95,95%,0.3,30%,0.75,75%
189,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.6,60%,0.8,80%
190,2a,BM,0,50,0,50,50 cents. (The participant answered correctly.),1,10,1,10,10 cents. (This answer is correct; see Note below.),1,100%.,1,100%.,0.6,60%.,0.9,90%.
191,2a,BM,0,0.9,0,0.9,0.90 cents,1,0.1,1,0.1,$.10 cents,1,100%.,,Totally sure!!,0.008,I have no idea...80% maybe??,0.99,"Like 99%, only those that can't add could get it wrong..."
192,2a,BM,1,0.45,0,2.45,The banana would be $0.45 and the magazine $2.45,0,,0,,That doesn't make sense. An eraser wouldn't be free. You said there were two items and that they each had different prices.,0.76,I'm about 76% percent sure.,,My confidence level is now down to zero because nothing adds up right with my answer. This whole survey feels like some kind of trick!,0.9,Around 90%.,0.4,"Considering that so many problems have ""trick"" solutions, only about 35% to 40%."
193,2a,BM,0,50,0,50,50 cents,1,10,1,0.1,"10 cents. It's literally 1.10 minus 1 which equals 0.10, that's common sense lol",0.84,"I am pretty sure about it but sometimes my brain plays games with me, so I might be wrong. But mostly right though, 84%.",1,Definitely sure this time 100%. I just used math there.,0.73,"If they solve the arithmetic then most probably close to 100%, as the arithmetic is relatively simple, however if they’re thinking too deep into it maybe around 73%.",0.99,It would depend on their grasp of basic mathematics; so it's going to be either extremely low like 25% or quite high around 99%.
194,2a,BM,1,0.45,1,0.45,Bananas cost $.45,1,0.1,1,0.1,This question has an obvious answer of $0.10. Anyone that thinks otherwise must have really bad judgment or have forgotten how numbers work altogether.,1,I am totally sure of my response. My answer would be 100%.,0.99,As certain as there are apples in an apple pie...I give 99%.,0.3,I think about 10% to 30% get this one right. Most folks who aren't very familiar with math concepts make errors by carrying numbers when they shouldn't. It can also happen if people rush too fast without checking their work.,0.7,More than half of people will be correct. Around 70%. Some still fail even though they have had multiple similar problems explained. It is usually the same type of error involving addition where a decimal value isn’t properly added because someone forgot to divide everything after doing an initial multiplication step first.
195,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
196,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
197,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.8,80
198,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
199,2a,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,1,100%,1,100%,0.5,50%,0.75,75%
200,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.6,60%
201,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.6,60,0.8,80
202,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.7,70,0.95,95,0.5,50,0.6,60
203,2a,BM,0,0.9,0,0.9,0.90,1,0.1,1,0.1,0.10,1,100,1,100,0.5,50,0.6,60
204,2a,BM,0,75,0,75,75 cents,1,10,1,10,10 cents,1,100,1,100,0.8,80,0.6,60
205,2a,BM,0,50,0,2,"50 cents, because $2.90 - $2 = $.90 / 2",1,10,1,10,10 cents,1,100%,1,100%,0.35,I think about 35% would get it correct without help.,0.8,At least 80% would get that right without help.
206,2a,BM,0,70,0,0.7,70 cents ($.70),1,10,1,0.1,10 cents ($0.10),1,100%,1,100%,0.9,90% or higher,0.85,85%
207,2a,BM,1,0.45,0,2,"$.45, since it says ""the magazine cost $2 **more** than the banana"". I've seen people do it incorrectly because they thought the total was the price for both, when it's actually separate items priced individually.",1,0.1,1,0.1,"$.10, the same logic applies here as before.",1,100%,1,"100%, it's straightforward arithmetic.",0.6,60%,0.95,"95%, again, simple math."
208,2a,BM,1,0.45,1,0.45,"$.45 (This response suggests that a common arithmetic error, sometimes known as ""representational momentum"", can interfere in decision making)",1,0.1,1,0.1,"$0.10 (Our subject did not make an arithmetical mistake for this problem because there was no price difference to cause ""representational momentum"")",0.98,98%,1,100%,0.67,"67% (Interestingly enough, this response shows some humility on behalf of our test taker.)",0.83,83%
209,2a,BM,1,0.45,0,2.1,"$.45, because if I solve this in my head it comes out that if I take away $2 from the total cost, which makes the remaining amount equal to the magazine’s price (which was mentioned to be two dollars greater than the banana), it turns into $0.90 for both, meaning a ratio of three bananas (total) per $2. So then it just makes sense for each individual object (banana and magazine) to divide those $0.90 by 3, which results in thirty cents for one object (in this case banana) and ninety for another (magazine). But now since the banana has only cost me 30 cents so far, but needs to have 90 cents added onto it in order to balance with the magazines final price ($1.80 plus bananas 30 cents equals $2.10). In result, an additional charge on top of that thirty cent initial fee",1,0.1,0,2.9,"$0.10, since the previous answer had established my solution process with adding whatever extra was needed after taking into account subtracting $2 from $2.90, then continuing said procedure when applied here for an opposite result",0.8,80,0.85,85%,0.7,"I’m actually rather unsure about the answer as a whole here; it seems to be pretty unrealistic to say what percentages of people might have answered correctly because it is more than likely determined by factors such as mathematical experience or level of education attained at some point prior in their lives, therefore, making generalization near impossible, though if forced I would probably place it around 70%, due mainly to high school level education being quite ubiquitous",,"Assuming these questions follow similar distribution of responses found previously within the context presented above, perhaps upwards of ninety percent given simplicity compared against the first question"
210,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
211,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
212,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
213,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.95,95%,0.95,95%
214,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
215,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.75,75%,1,100%,0.35,35%,0.5,50%
